mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,impugnaciones,observaciones,centro,departamento,municipio,tipo
6932,,"{'TODOS': 7, 'CAMBIO': 17, 'MORENA': 2, 'VAMOS': 148, 'PIN': 0, 'RENOVADOR': 17, 'VALOR': 59, 'AZUL': 3, 'UNE': 2, 'FCN-NACION': 0, 'PODEMOS': 1, 'UC': 0}",1,19,276,0,--,Sumas Asentadas sin cuadrar,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6933,,"{'TODOS': 5, 'CAMBIO': 17, 'MORENA': 2, 'VAMOS': 130, 'PIN': 1, 'RENOVADOR': 19, 'VALOR': 62, 'AZUL': 2, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 1, 'UC': 0}",3,5,248,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6934,,"{'TODOS': 7, 'CAMBIO': 11, 'MORENA': 4, 'VAMOS': 134, 'PIN': 0, 'RENOVADOR': 26, 'VALOR': 89, 'AZUL': 0, 'UNE': 0, 'FCN-NACION': 1, 'PODEMOS': 2, 'UC': 0}",1,4,279,0,0,,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6935,,"{'TODOS': 10, 'CAMBIO': 15, 'MORENA': 3, 'VAMOS': 166, 'PIN': 1, 'RENOVADOR': 24, 'VALOR': 69, 'AZUL': 1, 'UNE': 0, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 0}",2,2,293,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6936,,"{'TODOS': 8, 'CAMBIO': 13, 'MORENA': 6, 'VAMOS': 128, 'PIN': 0, 'RENOVADOR': 19, 'VALOR': 54, 'AZUL': 0, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 0, 'UC': 0}",0,6,235,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6937,,"{'TODOS': 8, 'CAMBIO': 12, 'MORENA': 2, 'VAMOS': 97, 'PIN': 0, 'RENOVADOR': 19, 'VALOR': 51, 'AZUL': 1, 'UNE': 1, 'FCN-NACION': 0, 'PODEMOS': 2, 'UC': 0}",1,5,199,0,--,Algún campo sin dato,0758,El Progreso,San Agustín Acasaguastlán,alcalde
6938,,"{'TODOS': 4, 'CAMBIO': 3, 'MORENA': 1, 'VAMOS': 69, 'PIN': 3, 'RENOVADOR': 47, 'VALOR': 60, 'AZUL': 3, 'UNE': 17, 'FCN-NACION': 2, 'PODEMOS': 1, 'UC': 7}",7,26,250,0,--,Algún campo sin dato,0759,El Progreso,San Agustín Acasaguastlán,alcalde
6939,,"{'TODOS': 14, 'CAMBIO': 2, 'MORENA': 2, 'VAMOS': 59, 'PIN': 1, 'RENOVADOR': 41, 'VALOR': 58, 'AZUL': 6, 'UNE': 18, 'FCN-NACION': 3, 'PODEMOS': 2, 'UC': 6}",5,22,239,0,--,Algún campo sin dato,0759,El Progreso,San Agustín Acasaguastlán,alcalde
6940,,"{'TODOS': 5, 'CAMBIO': 1, 'MORENA': 2, 'VAMOS': 62, 'PIN': 0, 'RENOVADOR': 52, 'VALOR': 44, 'AZUL': 8, 'UNE': 16, 'FCN-NACION': 1, 'PODEMOS': 4, 'UC': 12}",5,25,237,0,--,Algún campo sin dato,0759,El Progreso,San Agustín Acasaguastlán,alcalde
6941,,"{'TODOS': 4, 'CAMBIO': 0, 'MORENA': 1, 'VAMOS': 54, 'PIN': 0, 'RENOVADOR': 55, 'VALOR': 48, 'AZUL': 5, 'UNE': 8, 'FCN-NACION': 0, 'PODEMOS': 1, 'UC': 12}",9,26,223,0,--,Algún campo sin dato,0760,El Progreso,San Agustín Acasaguastlán,alcalde
